country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-03-2025 18:00,26.446912,91.439057,CO,6,177,44
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 18:00,24.82827,92.79525,CO,15,22,18
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 18:00,26.987634,94.636574,PM2.5,48,88,68
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 18:00,26.987634,94.636574,PM10,51,97,78
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2025 18:00,26.146529,87.454184,OZONE,9,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 18:00,25.5626095,84.663264,PM2.5,25,67,45
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2025 18:00,16.5150833,80.5181667,OZONE,13,65,56
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-03-2025 18:00,14.675886,77.593027,NO2,25,52,35
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",26-03-2025 18:00,14.465052,78.824187,SO2,15,16,15
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",26-03-2025 18:00,13.67,79.35,NH3,1,2,1
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-03-2025 18:00,26.2028636,91.70046436,NO2,1,12,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 18:00,26.10887,91.589544,OZONE,14,19,16
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-03-2025 18:00,26.181742,91.78063,NO2,3,3,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 18:00,26.349082,92.68449,NO2,6,22,13
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 18:00,26.349082,92.68449,CO,24,101,64
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 18:00,11.654054,92.734055,PM2.5,3,160,36
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 18:00,11.654054,92.734055,PM10,22,192,79
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 18:00,11.654054,92.734055,SO2,2,38,17
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2025 18:00,16.5150833,80.5181667,PM2.5,34,50,43
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2025 18:00,16.5150833,80.5181667,PM10,41,95,58
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2025 18:00,26.80365,84.51954,NH3,2,6,4
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-03-2025 18:00,25.251013,86.989001,PM10,42,98,62
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-03-2025 18:00,25.251013,86.989001,NO2,18,47,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-03-2025 18:00,25.251013,86.989001,OZONE,18,27,20
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-03-2025 18:00,25.265194,87.012947,PM2.5,10,153,98
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 18:00,27.103358,93.679645,SO2,6,7,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 18:00,27.103358,93.679645,CO,11,36,15
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-03-2025 18:00,26.071318,91.87488,PM10,72,500,312
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 18:00,25.5626095,84.663264,NH3,1,1,1
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 18:00,25.42742023,86.13886079,PM10,29,374,127
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 18:00,25.42742023,86.13886079,NO2,38,119,77
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-03-2025 18:00,13.615387,79.40923,PM2.5,35,253,104
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-03-2025 18:00,13.615387,79.40923,CO,21,26,23
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-03-2025 18:00,16.536107,80.594233,OZONE,3,28,21
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-03-2025 18:00,16.509717,80.612222,NH3,3,4,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-03-2025 18:00,17.72,83.3,SO2,5,12,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-03-2025 18:00,25.265194,87.012947,OZONE,2,37,26
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",26-03-2025 18:00,25.610369,85.132568,SO2,1,10,6
India,Bihar,Patna,"Muradpur, Patna - BSPCB",26-03-2025 18:00,25.619651,85.147382,NO2,11,157,80
India,Bihar,Patna,"Muradpur, Patna - BSPCB",26-03-2025 18:00,25.619651,85.147382,SO2,6,8,7
India,Bihar,Patna,"Muradpur, Patna - BSPCB",26-03-2025 18:00,25.619651,85.147382,CO,20,78,49
India,Bihar,Patna,"Muradpur, Patna - BSPCB",26-03-2025 18:00,25.619651,85.147382,OZONE,6,42,36
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",26-03-2025 18:00,25.599486,85.113666,NO2,25,87,49
India,Bihar,Patna,"Samanpura, Patna - BSPCB",26-03-2025 18:00,25.596727,85.085624,PM10,135,500,277
India,Bihar,Patna,"Samanpura, Patna - BSPCB",26-03-2025 18:00,25.596727,85.085624,CO,12,107,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",26-03-2025 18:00,25.366336,87.117468,PM2.5,63,293,193
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",26-03-2025 18:00,25.366336,87.117468,OZONE,17,28,25
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-03-2025 18:00,25.560083,87.553265,SO2,16,25,21
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-03-2025 18:00,26.0881305,87.93840336,PM2.5,31,140,60
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-03-2025 18:00,26.0881305,87.93840336,NO2,23,28,25
